molecule,L,basis,active_occupied,active_vacant,qubits,scheme,vertices,noncommuting_edges,colors,order,steps,spectral_error,reconstruction_error,file
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,5,1.4112366029800461e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,10,7.056180826792402e-06,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,1,1.9795384762135224e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,2,4.9487894115298177e-08,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,5,7.918044824751103e-09,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,2,10,1.97951745889459e-09,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,1,7.056253112849616e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,2,3.52809917400459e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,5,1.411236603677971e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,1,10,7.056180832125187e-06,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,1,2.993766211842356e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,2,7.484348028662761e-08,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,5,1.1974930821227194e-08,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,JW_Pauli_string_commutation,15,16,2,2,10,2.993729643810601e-09,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,1,0.013570542005976217,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,2,0.007183389655833509,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,5,0.0029186770218141925,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,1,10,0.0014625484395009586,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,1,0.0022425504912381143,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,2,0.0005757892877637957,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,5,9.281436533272186e-05,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,10,2.322824908627232e-05,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,1,0.007590503931312366,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,2,0.0038555149071556314,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,5,0.0015489508271162055,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,10,0.0007749498476616522,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,1,0.0006456774418733778,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,2,0.00016262568606855433,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,5,2.6074360170012007e-05,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,10,6.520529416109519e-06,2.842170943040401e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-004_jw.dat
B-B,1.87,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,1,0.0011346790505153473,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002_jw.dat
B-B,1.87,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,2,0.0005672625401831604,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002_jw.dat
B-B,1.87,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,5,0.0002268963948509907,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/sto-6g/B-B_1.87_sto-6g_as-002-002_jw.dat
