mapping,class_id,operator_error_rank,operator_error,state_error,commutator_surrogate,predicted_leading_error,surrogate_rank,tags,order_indices,order_labels
bk,6112,179,0.026589223598508484,1.195827321860277e-16,0.037409439673357456,0.018704719836678728,65,,6 7 8 9 10 11 12 13 0 1 2 3 4 5,P0006 P0007 P0008 P0009 P0010 P0011 P0012 P0013 P0000 P0001 P0002 P0003 P0004 P0005
bk,4126,180,0.026589223598508568,2.2898349882893854e-16,0.037409439673357456,0.018704719836678728,66,,4 5 0 1 2 3 6 7 8 9 10 11 12 13,P0004 P0005 P0000 P0001 P0002 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0012 P0013
bk,4272,65,0.019899806096554798,0.018594180861926105,0.0374094396733575,0.01870471983667875,67,,4 6 7 8 9 10 11 0 1 2 3 5 12 13,P0004 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0001 P0002 P0003 P0005 P0012 P0013
bk,5322,66,0.01989980609655482,0.018594180861926095,0.0374094396733575,0.01870471983667875,68,,5 6 7 8 9 10 12 13 0 1 2 3 4 11,P0005 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0001 P0002 P0003 P0004 P0011
bk,56,501,0.03538650522118554,1.1527756336890508e-16,0.0374094396733575,0.01870471983667875,69,,0 1 4 5 6 7 8 9 10 11 12 13 2 3,P0000 P0001 P0004 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0012 P0013 P0002 P0003
bk,2011,502,0.03538650522118554,1.1527756336890508e-16,0.0374094396733575,0.01870471983667875,70,,2 3 4 5 6 7 8 9 10 11 12 13 0 1,P0002 P0003 P0004 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0012 P0013 P0000 P0001
bk,6871,67,0.020020803694884032,0.02002080369488397,0.040388595809263836,0.020194297904631918,71,,6 7 8 9 10 12 13 3 11 0 1 2 4 5,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0011 P0000 P0001 P0002 P0004 P0005
bk,5636,68,0.020020803694884064,0.020020803694884057,0.040388595809263836,0.020194297904631918,72,,6 7 8 9 10 11 0 12 13 1 2 3 4 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0012 P0013 P0001 P0002 P0003 P0004 P0005
bk,6610,69,0.02002080369488407,0.02002080369488397,0.040388595809263836,0.020194297904631918,73,,6 7 8 9 10 12 13 1 11 0 2 3 4 5,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0011 P0000 P0002 P0003 P0004 P0005
bk,6081,70,0.02002080369488408,0.020020803694884057,0.040388595809263836,0.020194297904631918,74,,6 7 8 9 10 11 3 12 13 0 1 2 4 5,P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0012 P0013 P0000 P0001 P0002 P0004 P0005
bk,6426,71,0.020020803694884102,0.02002080369488397,0.040388595809263836,0.020194297904631918,75,,6 7 8 9 10 12 13 0 11 1 2 3 4 5,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0011 P0001 P0002 P0003 P0004 P0005
bk,5966,72,0.020020803694884116,0.020020803694884057,0.040388595809263836,0.020194297904631918,76,,6 7 8 9 10 11 2 12 13 0 1 3 4 5,P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0012 P0013 P0000 P0001 P0003 P0004 P0005
bk,6756,73,0.020020803694884116,0.02002080369488397,0.040388595809263836,0.020194297904631918,77,,6 7 8 9 10 12 13 2 11 0 1 3 4 5,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0011 P0000 P0001 P0003 P0004 P0005
bk,5820,74,0.02002080369488415,0.020020803694884057,0.040388595809263836,0.020194297904631918,78,,6 7 8 9 10 11 1 12 13 0 2 3 4 5,P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0012 P0013 P0000 P0002 P0003 P0004 P0005
bk,4130,75,0.020020803694884157,0.020020803694884008,0.040388595809263836,0.020194297904631918,79,,4 5 0 1 3 6 7 8 9 10 11 2 12 13,P0004 P0005 P0000 P0001 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0012 P0013
