# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : jw   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : all per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
B,nan,sto-6g,003-005,jw,8,256,4,1024,0.25,0.39269908169872575,4,3.2799154670580195e-09,2.953,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,1,512,1.0,1.570796326794903,1,0.02915437806432193,0.143,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,2,1024,0.5,0.7853981633974515,1,0.013992480242526589,0.288,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,4,2048,0.25,0.39269908169872575,1,0.006912392782612571,0.591,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,1,512,1.0,1.570796326794903,2,0.011145138109816186,0.303,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,2,1024,0.5,0.7853981633974515,2,0.002785062326402538,0.584,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,4,2048,0.25,0.39269908169872575,2,0.000696188898735344,1.139,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,1,512,1.0,1.570796326794903,4,1.3267537461688438e-06,1.426,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,2,1024,0.5,0.7853981633974515,4,8.244969378504034e-08,2.905,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,512,4,2048,0.25,0.39269908169872575,4,5.1461366168627715e-09,5.782,29.461587453322437,12.338925073596037
B,nan,sto-6g,005-005,jw,10,64,1,64,1.0,1.5707963267948908,1,0.012082326980048595,0.077,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,2,128,0.5,0.7853981633974454,1,0.005998905900548834,0.155,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,4,256,0.25,0.3926990816987227,1,0.0029893907200537104,0.313,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,1,64,1.0,1.5707963267948908,2,0.0004992431971416016,0.159,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,2,128,0.5,0.7853981633974454,2,0.00012260124154056813,0.311,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,4,256,0.25,0.3926990816987227,2,3.051906265663517e-05,0.616,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,1,64,1.0,1.5707963267948908,4,4.3768243717083505e-06,0.773,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,2,128,0.5,0.7853981633974454,4,2.6501835038421295e-07,1.509,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,64,4,256,0.25,0.3926990816987227,4,1.6444144012816437e-08,3.106,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,1,256,1.0,1.5707963267948908,1,0.013239471248437246,0.314,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,2,512,0.5,0.7853981633974454,1,0.006453328416789326,0.613,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,4,1024,0.25,0.3926990816987227,1,0.0031868469346556906,1.218,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,1,256,1.0,1.5707963267948908,2,0.000864498416903055,0.606,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,2,512,0.5,0.7853981633974454,2,0.0002132883355310358,1.189,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,4,1024,0.25,0.3926990816987227,2,5.315254819852359e-05,2.438,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,1,256,1.0,1.5707963267948908,4,7.130668351593222e-06,2.963,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,2,512,0.5,0.7853981633974454,4,4.6664407088545854e-07,6.05,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,256,4,1024,0.25,0.3926990816987227,4,2.9517718618823474e-08,12.277,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,1,512,1.0,1.5707963267948908,1,0.007688438130041417,0.611,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,2,1024,0.5,0.7853981633974454,1,0.0036579357049525483,1.23,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,4,2048,0.25,0.3926990816987227,1,0.0017889470739871364,2.446,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,1,512,1.0,1.5707963267948908,2,0.0015459647268232018,1.225,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,2,1024,0.5,0.7853981633974454,2,0.0003816851101764701,2.372,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,4,2048,0.25,0.3926990816987227,2,9.513439544713295e-05,4.759,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,1,512,1.0,1.5707963267948908,4,1.1974173368446436e-05,6.019,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,2,1024,0.5,0.7853981633974454,4,8.061173009840656e-07,11.808,33.41253267417527,34.91225635978546
B,nan,sto-6g,005-005,jw,10,512,4,2048,0.25,0.3926990816987227,4,5.1306751744538494e-08,23.647,33.41253267417527,34.91225635978546
