# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 8
# number of frozen, vacant, single-occupancy orbitals = 6
# size of active space = 12
# number of qubits = 12
# basis set = sto-6g
# interatomic separation (angstroms) = 1.596
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 327
# one-norm of sum of Pauli strings (Hartrees) = 21.312654515343823
# eigenvalue lower bound from shifted one-norm (Hartrees) = -21.312654515343823
# eigenvalue upper bound from shifted one-norm (Hartrees) = -1.8495345334438156
# Hartree-Fock energy (Hartrees) = -14.721751565021146
# runtime for Hartree-Fock calculation (seconds) = 0.43511128425598145
# runtime for active space calculation (seconds) = 0.0025081634521484375
# runtime for fermion-to-qubit calculation (seconds) = 0.019158124923706055
 9.70110348819934742e-01 ZIIIIIIIIIII
-2.11085490192266427e-03+0.00000000000000000e+00j XYYIIIIIYYXI
-2.11085490192266427e-03+0.00000000000000000e+00j YYXIIIIIXYYI
-8.88439204847403779e-04+0.00000000000000000e+00j XYXIIIIIYYYI
2.99929410677006805e-03+0.00000000000000000e+00j YYXIIIIIYYXI
2.99929410677006805e-03+0.00000000000000000e+00j XYYIIIIIXYYI
-2.37988511232206483e-04+0.00000000000000000e+00j IXZIIIIIYYXI
2.37988511232206483e-04+0.00000000000000000e+00j ZXIZIIIIYYXI
2.37988511232206483e-04+0.00000000000000000e+00j IXZIIIIIXYYI
-2.37988511232206483e-04+0.00000000000000000e+00j ZXIZIIIIXYYI
-1.87286639069045779e-03+0.00000000000000000e+00j IXYIIIIIZYXI
1.87286639069045779e-03+0.00000000000000000e+00j ZYYIIIIIIXXI
1.87286639069045779e-03+0.00000000000000000e+00j IXXIIIIIZYYI
-1.87286639069045779e-03+0.00000000000000000e+00j ZYXIIIIIIXYI
2.76130559553786157e-03+0.00000000000000000e+00j XYZIIIIIIXYI
-2.76130559553786157e-03+0.00000000000000000e+00j YYZIIIIIIXXI
2.76130559553786157e-03+0.00000000000000000e+00j YXIZIIIIZYXI
-2.76130559553786157e-03+0.00000000000000000e+00j XXIZIIIIZYYI
1.17774549571634437e-02+0.00000000000000000e+00j IIIYIIIYXZXX
-1.17774549571634437e-02+0.00000000000000000e+00j IZZXIIIYYIXX
1.17774549571634437e-02+0.00000000000000000e+00j IIIYIIIYYZYX
1.17774549571634437e-02+0.00000000000000000e+00j IZZXIIIYXIYX
-2.58815398343582945e-03+0.00000000000000000e+00j YIXXIIIYIZZX
2.58815398343582945e-03+0.00000000000000000e+00j XIYXIIIYIZZX
2.58815398343582945e-03+0.00000000000000000e+00j XZXXIIIYIIIY
2.58815398343582945e-03+0.00000000000000000e+00j YZYXIIIYIIIY
3.67196497793444978e-03+0.00000000000000000e+00j IZYXXZIYIZZX
-3.67196497793444978e-03+0.00000000000000000e+00j IZXXYZIYIZZX
3.67196497793444978e-03+0.00000000000000000e+00j IZYXYIIYIIIY
3.67196497793444978e-03+0.00000000000000000e+00j IZXXXIIYIIIY
3.67196497793445455e-03+0.00000000000000000e+00j IZYYIZXXIZZX
-3.67196497793445455e-03+0.00000000000000000e+00j IZXYIZYXIZZX
3.67196497793445455e-03+0.00000000000000000e+00j IZYXIIYYIIIY
3.67196497793445455e-03+0.00000000000000000e+00j IZXXIIXYIIIY
2.76130559553786157e-03+0.00000000000000000e+00j IXYIIIIIXYZI
-2.76130559553786157e-03+0.00000000000000000e+00j IXXIIIIIYYZI
2.76130559553786157e-03+0.00000000000000000e+00j ZYXIIIIIYXIZ
-2.76130559553786157e-03+0.00000000000000000e+00j ZYYIIIIIXXIZ
-1.87286639069045779e-03+0.00000000000000000e+00j YXIZIIIIXYZI
1.87286639069045779e-03+0.00000000000000000e+00j XXIZIIIIYYZI
1.87286639069045779e-03+0.00000000000000000e+00j YYZIIIIIXXIZ
-1.87286639069045779e-03+0.00000000000000000e+00j XYZIIIIIYXIZ
-2.37988511232206483e-04+0.00000000000000000e+00j YYXIIIIIIXZI
2.37988511232206483e-04+0.00000000000000000e+00j XYYIIIIIIXZI
2.37988511232206483e-04+0.00000000000000000e+00j YYXIIIIIZXIZ
-2.37988511232206483e-04+0.00000000000000000e+00j XYYIIIIIZXIZ
2.99929410677006805e-03+0.00000000000000000e+00j IXZIIIIIIXZI
8.88439204847403779e-04+0.00000000000000000e+00j IYIZIIIIZYZI
-2.11085490192266427e-03+0.00000000000000000e+00j ZXIZIIIIIXZI
-2.11085490192266427e-03+0.00000000000000000e+00j IXZIIIIIZXIZ
8.88439204847403779e-04+0.00000000000000000e+00j ZYZIIIIIIYIZ
2.99929410677006805e-03+0.00000000000000000e+00j ZXIZIIIIZXIZ
-1.17774549571634437e-02+0.00000000000000000e+00j IZYXIIIYXIZX
1.17774549571634437e-02+0.00000000000000000e+00j IZXXIIIYYIZX
-1.17774549571634437e-02+0.00000000000000000e+00j IZYXIIIYYIIY
-1.17774549571634437e-02+0.00000000000000000e+00j IZXXIIIYXIIY
2.83920285373777739e-03+0.00000000000000000e+00j YZIIIIIIIIYI
2.83920285373777739e-03+0.00000000000000000e+00j XZIIIIIIIIXI
2.83920285373777739e-03+0.00000000000000000e+00j XIIIIIIIIZXZ
2.83920285373777739e-03+0.00000000000000000e+00j YIIIIIIIIZYZ
9.51061479411836885e-03+0.00000000000000000e+00j IZYZIIIIIIYI
9.51061479411836885e-03+0.00000000000000000e+00j IZXZIIIIIIXI
9.51061479411836885e-03+0.00000000000000000e+00j IIXIIIIIIZXZ
9.51061479411836885e-03+0.00000000000000000e+00j IIYIIIIIIZYZ
3.68504920138808126e-03+0.00000000000000000e+00j IIIIYZIIIIYI
3.68504920138808126e-03+0.00000000000000000e+00j IIIIXZIIIIXI
3.68504920138808126e-03+0.00000000000000000e+00j IIIIXIIIIZXZ
3.68504920138808126e-03+0.00000000000000000e+00j IIIIYIIIIZYZ
3.68504920138808516e-03+0.00000000000000000e+00j IIIZIZYZIIYI
3.68504920138808516e-03+0.00000000000000000e+00j IIIZIZXZIIXI
3.68504920138808516e-03+0.00000000000000000e+00j IIIIIIXIIZXZ
3.68504920138808516e-03+0.00000000000000000e+00j IIIIIIYIIZYZ
-2.43747920267330239e-03+0.00000000000000000e+00j IYIXIIIYYXYX
-2.43747920267330239e-03+0.00000000000000000e+00j IYIXIIIYXXXX
-2.43747920267330239e-03+0.00000000000000000e+00j ZXIXIIIYXYYY
2.43747920267330239e-03+0.00000000000000000e+00j ZXIXIIIYYYXY
2.43747920267330239e-03+0.00000000000000000e+00j YXIXIIIYIYYX
2.43747920267330239e-03+0.00000000000000000e+00j XXIXIIIYIYXX
-2.43747920267330239e-03+0.00000000000000000e+00j YXIXIIIYZYXY
2.43747920267330239e-03+0.00000000000000000e+00j XXIXIIIYZYYY
1.34372873834542970e-02+0.00000000000000000e+00j IIIIIIIIYZYI
1.34372873834542970e-02+0.00000000000000000e+00j IIIIIIIIXZXI
1.34372873834542970e-02+0.00000000000000000e+00j IIIIIIIIXZXZ
1.34372873834542970e-02+0.00000000000000000e+00j IIIIIIIIYZYZ
 2.51557724850769437e-01 IZIIIIIIIIII
 8.28525607225411576e-02 ZIZIIIIIIIII
 8.86643279048113797e-02 ZZZIIIIIIIII
 8.86643279048113797e-02 ZZZZIIIIIIII
 8.28525607225411576e-02 ZIZZIIIIIIII
 6.68719205642670095e-02 IZIZIIIIIIII
 8.01947110595539331e-02 ZIIIZIIIIIII
 8.11784594042378183e-02 ZZIIZIIIIIII
 5.23438151746063104e-02 IIZIZIIIIIII
 6.60271373180807697e-02 IZZZZIIIIIII
 8.11784594042378183e-02 ZIIIZZIIIIII
 8.01947110595539331e-02 ZZIIZZIIIIII
 6.60271373180807697e-02 IIZIZZIIIIII
 5.23438151746063104e-02 IZZZZZIIIIII
 6.91769375504629191e-02 IIIIIZIIIIII
 8.01947110595540025e-02 ZIIIIIZIIIII
 8.11784594042379015e-02 ZZIIIIZIIIII
 5.23438151746063729e-02 IIZIIIZIIIII
 6.60271373180808391e-02 IZZZIIZIIIII
 5.93533059883807335e-02 IIIIZIZIIIII
 6.26278498424081564e-02 IIIIZZZIIIII
 8.11784594042379015e-02 ZIIZIZZZIIII
 8.01947110595540025e-02 ZZIZIZZZIIII
 6.60271373180808391e-02 IIZZIZZZIIII
 5.23438151746063729e-02 IZZIIZZZIIII
 6.26278498424081564e-02 IIIZZZZZIIII
 5.93533059883807335e-02 IIIZZIZZIIII
 6.91769375504630718e-02 IIIZIZIZIIII
 7.20317599986715074e-02 ZIIIIIIIZIII
 7.54277574991449318e-02 ZZIIIIIIZIII
 4.60097112290434457e-02 IIZIIIIIZIII
 5.91631246372955472e-02 IZZZIIIIZIII
 5.31911866648024506e-02 IIIIZIIIZIII
 5.75971279263797625e-02 IIIIZZIIZIII
 5.31911866648025200e-02 IIIIIIZIZIII
 5.75971279263798389e-02 IIIZIZZZZIII
 7.54277574991449318e-02 ZIIIIIIIZZII
 7.20317599986715074e-02 ZZIIIIIIZZII
 5.91631246372955472e-02 IIZIIIIIZZII
 4.60097112290434457e-02 IZZZIIIIZZII
 5.75971279263797625e-02 IIIIZIIIZZII
 5.31911866648024506e-02 IIIIZZIIZZII
 5.75971279263798389e-02 IIIIIIZIZZII
 5.31911866648025200e-02 IIIZIZZZZZII
 6.10919115618683145e-02 IIIIIIIIIZII
 9.26391336715761682e-02 ZIIIIIIIIIZI
